Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,106.00,106.169998,104.620003,104.660004,18298700,104.660004
2015-12-30,107.00,107.25,106.059998,106.220001,13101600,106.220001
2015-12-29,106.419998,107.739998,106.25,107.260002,17137900,107.260002
2015-12-28,105.019997,105.980003,104.529999,105.93,13031200,105.93
2015-12-24,104.739998,105.32,104.50,105.019997,6501800,105.019997
2015-12-23,105.889999,106.110001,103.860001,104.629997,19246600,104.629997
2015-12-22,105.220001,105.660004,104.809998,105.510002,14420600,105.510002
2015-12-21,104.910004,105.150002,103.599998,104.769997,15999900,104.769997
2015-12-18,106.080002,106.589996,103.970001,104.040001,35546500,104.040001
2015-12-17,107.489998,107.75,106.129997,106.220001,21508700,106.220001
2015-12-16,105.370003,107.089996,104.190002,106.790001,21994800,106.790001
2015-12-15,105.300003,105.800003,104.279999,104.550003,21644900,104.550003
2015-12-14,102.290001,104.739998,101.459999,104.660004,24648100,104.660004
2015-12-11,104.150002,104.339996,101.910004,102.120003,26286300,102.120003
2015-12-10,105.050003,106.400002,104.410004,105.419998,17414500,105.419998
2015-12-09,106.18,106.440002,103.550003,104.599998,23123000,104.599998
2015-12-08,104.00,106.910004,103.949997,106.489998,20365300,106.489998
2015-12-07,106.480003,106.830002,104.660004,105.610001,15403400,105.610001
2015-12-04,104.809998,107.730003,104.110001,106.18,20941200,106.18
2015-12-03,106.269997,106.849998,103.349998,104.379997,23171000,104.379997
2015-12-02,107.00,107.919998,105.790001,106.07,24295200,106.07
2015-12-01,104.830002,107.150002,104.50,107.120003,22715600,107.120003
2015-11-30,105.839996,106.099998,103.75,104.239998,20009000,104.239998
2015-11-27,105.779999,105.959999,104.860001,105.449997,5899600,105.449997
2015-11-25,106.330002,106.599998,105.099998,105.410004,15150800,105.410004
2015-11-24,106.00,106.489998,104.389999,105.739998,23577300,105.739998
2015-11-23,107.190002,107.470001,106.080002,106.949997,19897200,106.949997
2015-11-20,106.839996,107.870003,106.620003,107.32,22129600,107.32
2015-11-19,107.360001,107.730003,105.949997,106.260002,25520600,106.260002
2015-11-18,105.800003,107.879997,105.389999,107.769997,23836500,107.769997
2015-11-17,104.620003,106.199997,104.139999,105.129997,26807200,105.129997
2015-11-16,103.32,104.169998,100.470001,104.040001,49309200,104.040001
2015-11-13,107.709999,108.25,103.830002,103.949997,30278400,103.949997
2015-11-12,108.480003,109.389999,108.00,108.019997,20924700,108.019997
2015-11-11,108.269997,109.870003,107.110001,109.010002,25057100,109.010002
2015-11-10,105.959999,108.150002,105.239998,107.910004,25031700,107.910004
2015-11-09,107.00,108.25,105.860001,106.489998,26383500,106.489998
2015-11-06,108.040001,108.739998,105.910004,107.099998,35084300,107.099998
2015-11-05,108.800003,110.650002,107.949997,108.760002,63232900,108.760002
2015-11-04,103.190002,104.139999,102.480003,103.940002,43469300,103.940002
2015-11-03,103.220001,103.650002,102.400002,102.580002,21242300,102.580002
2015-11-02,101.720001,103.470001,101.18,103.309998,24003900,103.309998
2015-10-30,104.510002,104.720001,101.650002,101.970001,33487100,101.970001
2015-10-29,103.959999,105.120003,103.519997,104.879997,20316700,104.879997
2015-10-28,103.900002,104.480003,102.919998,104.199997,24081500,104.199997
2015-10-27,102.940002,104.099998,102.400002,103.699997,23795500,103.699997
2015-10-26,102.199997,103.809998,101.550003,103.769997,25961200,103.769997
2015-10-23,101.910004,102.849998,100.160004,102.190002,42809700,102.190002
2015-10-22,97.790001,99.730003,97.550003,99.669998,26392100,99.669998
2015-10-21,97.370003,98.18,96.470001,97.110001,21917800,97.110001
2015-10-20,98.730003,99.589996,96.559998,97.00,30881800,97.00
2015-10-19,97.18,98.57,96.919998,98.470001,23729900,98.470001
2015-10-16,96.18,97.589996,95.349998,97.540001,25412900,97.540001
